r(A),g(r)
3.055000000000000160e+00,1.308139826420995577e+00
3.064999999999999947e+00,1.328673947494921626e+00
3.075000000000000178e+00,1.334999830120843001e+00
3.084999999999999964e+00,1.346897347701952130e+00
3.094999999999999751e+00,1.395380077728003654e+00
3.104999999999999982e+00,1.400112904120020429e+00
3.115000000000000213e+00,1.400614138562908062e+00
3.125000000000000000e+00,1.431488997083907089e+00
3.134999999999999787e+00,1.436169545771860623e+00
3.145000000000000018e+00,1.448713324650687584e+00
3.155000000000000249e+00,1.462173321750609878e+00
3.165000000000000036e+00,1.469834632745753655e+00
3.174999999999999822e+00,1.478546610623437951e+00
3.185000000000000053e+00,1.471186529194934201e+00
3.195000000000000284e+00,1.466523801479806099e+00
3.205000000000000071e+00,1.471433228754721378e+00
3.214999999999999858e+00,1.474099240629295648e+00
3.225000000000000089e+00,1.481068775790980618e+00
3.235000000000000320e+00,1.480574549048465416e+00
3.245000000000000107e+00,1.459051491999229899e+00
3.254999999999999893e+00,1.452774832383097126e+00
3.265000000000000124e+00,1.447090066798314201e+00
3.275000000000000355e+00,1.441366660458963223e+00
3.285000000000000142e+00,1.431371994883354093e+00
3.294999999999999929e+00,1.421285495177813329e+00
3.305000000000000160e+00,1.401447143331938427e+00
3.314999999999999947e+00,1.396188510133690608e+00
3.325000000000000178e+00,1.377472037622166079e+00
3.334999999999999964e+00,1.367195895779921067e+00
3.344999999999999751e+00,1.362754876807533044e+00
3.354999999999999982e+00,1.340386019190224376e+00
3.365000000000000213e+00,1.324744807884844500e+00
3.375000000000000000e+00,1.322135441983239179e+00
3.384999999999999787e+00,1.307799281743869058e+00
3.395000000000000018e+00,1.287261840463534091e+00
3.405000000000000249e+00,1.280884105364658909e+00
3.415000000000000036e+00,1.262459429762596841e+00
3.424999999999999822e+00,1.258672329024704162e+00
3.435000000000000053e+00,1.248144184339857965e+00
3.445000000000000284e+00,1.233112092745897170e+00
3.455000000000000071e+00,1.235407114554717634e+00
3.464999999999999858e+00,1.223542162160440094e+00
3.475000000000000089e+00,1.212367811113187699e+00
3.485000000000000320e+00,1.201944198629472327e+00
3.495000000000000107e+00,1.200686200838888107e+00
3.504999999999999893e+00,1.193421031598284721e+00
3.515000000000000124e+00,1.179993710607174284e+00
3.525000000000000355e+00,1.173657267639464763e+00
3.535000000000000142e+00,1.166262854697734719e+00
3.544999999999999929e+00,1.162246355856565661e+00
3.555000000000000160e+00,1.145215161552508576e+00
3.564999999999999947e+00,1.136933786804227076e+00
3.575000000000000178e+00,1.126917074976775845e+00
3.584999999999999964e+00,1.122371364685806894e+00
3.594999999999999751e+00,1.104099153901579866e+00
3.604999999999999982e+00,1.105480297650957233e+00
3.615000000000000213e+00,1.106408880968351660e+00
3.625000000000000000e+00,1.089310726287568754e+00
3.634999999999999787e+00,1.079846022149468121e+00
3.645000000000000018e+00,1.074407869862820775e+00
3.655000000000000249e+00,1.068666668145663579e+00
3.665000000000000036e+00,1.057913244365407568e+00
3.674999999999999822e+00,1.055760574667850005e+00
3.685000000000000053e+00,1.046184133591093524e+00
3.695000000000000284e+00,1.049191169429867898e+00
3.705000000000000071e+00,1.035804492384664544e+00
3.714999999999999858e+00,1.033755470585324465e+00
3.725000000000000089e+00,1.026670476610615390e+00
3.735000000000000320e+00,1.021615546869438562e+00
3.745000000000000107e+00,1.017259637293262742e+00
3.754999999999999893e+00,1.024686235821443914e+00
3.765000000000000124e+00,1.014884972032956689e+00
3.775000000000000355e+00,1.012660253343666383e+00
3.785000000000000142e+00,1.011978789679594648e+00
3.794999999999999929e+00,1.006853367140728706e+00
3.805000000000000160e+00,9.862296797663042680e-01
3.815000000000000391e+00,1.001926827070878989e+00
3.825000000000000178e+00,9.982561614143712347e-01
3.834999999999999964e+00,9.968907364633678991e-01
3.844999999999999751e+00,9.889934650685846540e-01
3.854999999999999982e+00,9.973334880773527811e-01
3.865000000000000213e+00,9.953925099108893448e-01
3.875000000000000000e+00,9.855629702832223726e-01
3.884999999999999787e+00,9.908601825832725751e-01
3.895000000000000018e+00,9.892667538810893113e-01
3.905000000000000249e+00,9.860648557025373240e-01
3.915000000000000036e+00,9.831468356381716234e-01
3.924999999999999822e+00,9.829860326194638231e-01
3.935000000000000053e+00,9.867170355555967554e-01
3.945000000000000284e+00,9.814051568416984894e-01
3.955000000000000071e+00,9.907010029179664778e-01
3.964999999999999858e+00,9.800635716074092008e-01
3.975000000000000089e+00,9.837396794912571796e-01
3.985000000000000320e+00,9.833789599371740575e-01
3.995000000000000107e+00,9.760705866687939825e-01
4.004999999999999893e+00,9.827216385286526856e-01
4.014999999999999680e+00,9.897787073455528439e-01
4.025000000000000355e+00,9.865800941819539149e-01
4.035000000000000142e+00,9.824597173610302159e-01
4.044999999999999929e+00,9.892363751672752503e-01
4.055000000000000604e+00,9.878451544044282162e-01
4.065000000000000391e+00,9.843732850931493639e-01
4.075000000000000178e+00,9.848066431786735020e-01
4.084999999999999964e+00,9.836991188580634926e-01
4.094999999999999751e+00,9.825561675467210376e-01
4.104999999999999538e+00,9.838492942768261029e-01
4.115000000000000213e+00,9.875259866683699927e-01
4.125000000000000000e+00,9.793790975646187169e-01
4.134999999999999787e+00,9.842365002960606901e-01
4.145000000000000462e+00,9.773389869167798949e-01
4.155000000000000249e+00,9.818521258599273160e-01
4.165000000000000036e+00,9.819102114872325648e-01
4.174999999999999822e+00,9.832006342380030794e-01
4.184999999999999609e+00,9.779297231052982431e-01
4.195000000000000284e+00,9.825892895896287671e-01
4.205000000000000071e+00,9.877658758947620576e-01
4.214999999999999858e+00,9.838331971940085241e-01
4.225000000000000533e+00,9.837818765108957697e-01
4.235000000000000320e+00,9.855579844883393115e-01
4.245000000000000107e+00,9.851883594072567973e-01
4.254999999999999893e+00,9.848113178584743110e-01
4.264999999999999680e+00,9.873677469775892224e-01
4.275000000000000355e+00,9.868833692303045080e-01
4.285000000000000142e+00,9.868336973552948033e-01
4.294999999999999929e+00,9.837172077701443751e-01
4.305000000000000604e+00,9.857988670509714169e-01
4.315000000000000391e+00,9.783153868187418611e-01
4.325000000000000178e+00,9.880644142473892222e-01
4.334999999999999964e+00,9.857883797035134066e-01
4.344999999999999751e+00,9.864175481281621805e-01
4.354999999999999538e+00,9.875946449285541995e-01
4.365000000000000213e+00,9.792200478480196368e-01
4.375000000000000000e+00,9.828006335632492041e-01
4.384999999999999787e+00,9.873609889998884448e-01
4.395000000000000462e+00,9.866752648194625497e-01
4.405000000000000249e+00,9.789221798235953065e-01
4.415000000000000036e+00,9.854255282208165267e-01
4.424999999999999822e+00,9.792488866331086061e-01
4.434999999999999609e+00,9.863779704155297701e-01
4.445000000000000284e+00,9.845644288428562207e-01
4.455000000000000071e+00,9.851174031599826408e-01
4.464999999999999858e+00,9.862212038493999300e-01
4.475000000000000533e+00,9.942505386114408594e-01
4.485000000000000320e+00,9.882980795828176790e-01
4.495000000000000107e+00,9.925637669480265046e-01
4.504999999999999893e+00,9.941318514531599648e-01
4.514999999999999680e+00,9.867968655772973996e-01
4.525000000000000355e+00,9.894445692608188070e-01
4.535000000000000142e+00,9.979222015887588837e-01
4.544999999999999929e+00,9.970491830830696678e-01
4.555000000000000604e+00,9.917145536997604705e-01
4.565000000000000391e+00,9.928691153454872742e-01
4.575000000000000178e+00,9.953579699065451258e-01
4.584999999999999964e+00,9.927264770960712026e-01
4.594999999999999751e+00,9.978460143719587450e-01
4.604999999999999538e+00,9.934351570541605225e-01
4.615000000000000213e+00,9.923114507597058376e-01
4.625000000000000000e+00,9.935672859381192712e-01
4.634999999999999787e+00,9.959874905139552981e-01
4.645000000000000462e+00,1.005748536418561434e+00
4.655000000000000249e+00,9.945998629448885575e-01
4.665000000000000036e+00,9.951502033785278867e-01
4.674999999999999822e+00,1.011655511589328649e+00
4.684999999999999609e+00,9.970527477690213081e-01
4.695000000000000284e+00,1.002884336571178370e+00
4.705000000000000071e+00,1.006397673663568915e+00
4.714999999999999858e+00,1.002302367465800703e+00
4.725000000000000533e+00,1.005550339980657570e+00
4.735000000000000320e+00,1.006930593297318044e+00
4.745000000000000107e+00,1.013119132355497554e+00
4.754999999999999893e+00,1.008363574607479496e+00
4.765000000000000568e+00,1.013750625643580205e+00
4.775000000000000355e+00,1.008405679637591756e+00
4.785000000000000142e+00,1.012126136633425766e+00
4.794999999999999929e+00,1.009242028796685453e+00
4.804999999999999716e+00,1.011057088494116130e+00
4.815000000000000391e+00,1.010678257061939256e+00
4.825000000000000178e+00,1.009821904865448872e+00
4.834999999999999964e+00,1.008543437296145262e+00
4.844999999999999751e+00,1.017293756206232969e+00
4.855000000000000426e+00,1.014518106267297437e+00
4.865000000000000213e+00,1.017718516172565257e+00
4.875000000000000000e+00,1.017538270900478103e+00
4.884999999999999787e+00,1.012710124529416111e+00
4.894999999999999574e+00,1.016143024432574204e+00
4.905000000000000249e+00,1.018638153341835828e+00
4.915000000000000036e+00,1.015993554978793068e+00
4.924999999999999822e+00,1.014887910854609165e+00
4.935000000000000497e+00,1.020312916495192512e+00
4.945000000000000284e+00,1.016426940886247632e+00
4.955000000000000071e+00,1.015178519536618529e+00
4.964999999999999858e+00,1.017755800057580373e+00
4.974999999999999645e+00,1.016764333558670463e+00
4.985000000000000320e+00,1.015795895209808508e+00
4.995000000000000107e+00,1.026682889279065591e+00
